@relation 'training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R1-3,11-12,25-28,33-35,37'

@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost1_dist numeric
@attribute ghost2_dist numeric
@attribute ghost3_dist numeric
@attribute ghost4_dist numeric
@attribute pacman_action {East,North,South,Stop,West,None}

@data
21,9,True,True,True,True,True,True,True,True,True,15,13,12,13,12,15,13,13,10,13,15,13,West
20,9,False,False,True,True,True,True,True,True,True,14,13,11,13,11,15,13,14,10,13,15,12,West
19,9,True,False,True,True,True,True,True,True,True,14,14,12,13,11,15,13,14,10,11,14,12,North
19,10,True,True,False,False,True,True,True,True,True,14,13,13,13,10,15,13,15,8,9,14,12,North
19,11,True,True,False,True,True,True,True,True,True,13,13,14,13,9,15,12,15,8,7,14,12,North
19,12,True,True,False,False,True,True,True,True,True,14,13,14,14,9,15,11,15,6,7,13,11,North
19,13,True,True,True,False,True,True,True,True,True,14,14,14,15,10,15,11,15,6,7,11,10,North
19,14,True,True,False,False,True,True,True,True,True,14,15,14,14,10,15,11,15,6,5,10,10,North
19,15,False,True,False,True,True,True,True,True,True,14,15,14,14,11,15,10,15,5,6,8,8,West
18,15,False,False,True,True,True,True,True,True,True,15,15,14,14,10,15,11,15,3,5,8,6,West
17,15,False,False,True,True,True,True,True,True,True,15,16,14,15,11,15,12,15,3,3,6,6,West
16,15,False,False,True,True,True,True,True,True,True,15,16,13,15,10,15,11,15,2,3,6,5,West
15,15,True,False,True,True,True,False,True,True,True,1,1,14,15,10,15,11,15,-1,1,5,4,West
14,15,False,True,True,True,True,False,False,True,True,1,2,2,1,11,15,11,15,26,-1,3,3,West
13,15,False,True,True,True,True,False,False,True,True,1,3,1,1,12,15,11,15,24,-1,1,2,West
4,12,False,True,True,True,True,True,True,True,True,9,3,11,7,19,12,22,9,14,12,15,21,East
5,12,False,True,True,True,True,True,True,True,True,9,4,10,7,19,12,22,9,12,10,14,20,East
6,12,False,True,True,True,True,True,True,True,True,9,3,10,7,19,12,22,9,12,9,13,18,East
7,12,False,True,True,True,True,True,True,True,True,9,3,11,7,18,12,22,10,11,9,11,16,East
8,12,False,True,True,True,True,True,True,True,True,8,3,11,7,17,12,22,11,9,8,9,14,East
9,12,False,True,True,True,True,True,True,True,True,8,3,10,7,17,12,21,11,10,6,8,13,East
10,12,False,True,True,True,True,True,True,True,True,8,4,10,6,18,12,21,11,10,6,8,13,South
10,11,True,True,True,True,True,True,True,True,True,8,4,11,6,18,12,22,11,9,6,9,13,East
11,11,True,True,True,True,True,True,True,True,True,8,3,12,6,18,11,22,12,11,6,7,12,East
12,11,True,True,True,True,True,True,True,True,True,9,3,13,6,18,10,22,12,11,6,7,10,East
13,11,True,True,True,True,True,True,True,True,True,8,3,14,6,18,9,21,12,13,6,7,10,East
14,11,True,True,True,True,True,True,True,True,True,8,3,14,5,18,10,22,12,14,6,5,8,East
15,11,True,True,True,True,True,True,True,True,True,8,3,13,5,18,11,22,11,15,8,3,6,East
16,11,True,True,True,True,True,True,True,True,True,9,3,13,5,19,11,21,11,15,9,3,4,East
17,11,True,True,True,True,True,True,True,True,True,8,3,12,5,18,11,20,11,17,11,1,2,East
18,11,True,True,True,True,True,True,True,False,True,8,3,12,5,5,1,19,11,18,12,-1,2,East
19,11,True,True,True,True,True,True,True,False,False,8,3,12,5,5,1,19,12,19,13,-1,-1,West
18,11,True,True,True,True,True,True,True,False,False,7,3,12,4,5,1,7,1,19,13,-1,-1,West
17,11,True,True,True,True,True,True,True,False,False,7,3,12,4,5,1,7,1,18,12,-1,-1,West
16,11,True,True,True,True,True,True,True,False,False,7,3,12,3,5,1,7,1,17,12,-1,-1,West
15,11,True,True,True,True,True,True,True,False,False,7,4,12,3,5,1,7,1,15,11,-1,-1,West
14,11,True,True,True,True,True,True,True,False,False,6,4,11,3,5,1,7,1,15,11,-1,-1,West
13,11,True,True,True,True,True,True,True,False,False,6,5,12,3,5,1,7,1,13,9,-1,-1,West
12,11,True,True,True,True,True,True,True,False,False,5,5,12,3,5,1,7,1,13,8,-1,-1,South
12,10,True,True,True,True,True,True,True,False,False,5,4,12,3,5,1,7,1,13,7,-1,-1,South
12,9,True,True,True,True,True,True,True,False,False,5,5,12,3,5,1,7,1,11,6,-1,-1,South
12,8,True,True,True,True,True,True,True,False,False,5,6,12,4,5,1,7,1,9,4,-1,-1,South
12,7,True,True,True,True,True,True,True,False,False,6,6,12,3,5,1,7,1,7,4,-1,-1,South
12,6,True,True,True,True,True,True,True,False,False,7,6,12,4,5,1,7,1,5,2,-1,-1,South
12,5,True,True,True,True,True,True,False,False,False,6,6,3,1,5,1,7,1,7,-1,-1,-1,West
11,5,True,True,True,True,True,True,False,False,False,6,7,3,1,5,1,7,1,7,-1,-1,-1,West
10,5,True,True,True,True,True,True,False,False,False,7,7,3,1,5,1,7,1,5,-1,-1,-1,West
9,5,True,True,True,True,True,True,False,False,False,7,8,3,1,5,1,7,1,5,-1,-1,-1,West
